,Componente 1,Componente 2,C. Manual,Clusters
158,-0.24750945361395854,0.2655817882761638,S-03_Hardware SAP,3
159,-0.4862143331938578,-1.322456986264403,X-04_Reclasificar Servicios Front,5
160,-0.45474494976480784,-0.7722674413211602,X-05_Reclasificar Servicios Front - App Movil,5
161,-0.5396637370757525,-1.1980391723963104,X-05_Reclasificar Servicios Front - App Movil,5
162,-0.5493988488434576,-1.2190980451344227,X-05_Reclasificar Servicios Front - App Movil,5
163,-0.5591339606111626,-1.240156917872535,X-05_Reclasificar Servicios Front - App Movil,5
164,-0.5038976430550813,-1.1045104173627822,X-04_Reclasificar Servicios Front,5
165,-0.5136327548227861,-1.1255692901008945,X-04_Reclasificar Servicios Front,5
166,-0.6665861293111709,-1.029700083783679,X-04_Reclasificar Servicios Front,5
167,1.3937856811003992,-2.2497973725326035,X-05_Reclasificar Servicios Front - App Movil,4
168,-0.3641765262944153,-0.3335660975019107,X-05_Reclasificar Servicios Front - App Movil,3
169,-0.2539124220025677,-0.6819151571889882,X-04_Reclasificar Servicios Front,5
170,-0.4377477930855121,-0.6061055538611358,X-05_Reclasificar Servicios Front - App Movil,5
171,-0.47068360430578243,-0.6095765144619827,X-05_Reclasificar Servicios Front - App Movil,5
172,-0.5036194342785025,-0.6130474608470322,X-05_Reclasificar Servicios Front - App Movil,5
173,-0.4525399101237065,-0.8390015698197332,X-04_Reclasificar Servicios Front,5
174,-0.46227502189141145,-0.8600604425578454,X-04_Reclasificar Servicios Front,5
175,-0.29319227202489706,0.08127703383062425,C-07_Convivencia,3
176,-0.302927383792602,0.06021816109251206,C-07_Convivencia,3
177,-0.4151220464831112,-0.6707170172226773,C-07_Convivencia,5
178,-0.4598086456125033,-0.47232495847660333,C-07_Convivencia,5
179,-0.2877094207969067,0.376675266091322,X-02_Reclasificar - Operaciones,3
180,-0.28110739844816496,0.34323159090351424,X-02_Reclasificar - Operaciones,3
181,-0.3071796443323168,0.33455752061509764,X-02_Reclasificar - Operaciones,3
182,-0.4053869347154062,-0.649658144484565,C-07_Convivencia,5
183,-0.4403384220770932,-0.43020721300037884,C-07_Convivencia,5
184,-0.4257703591261171,-0.46968975880415414,C-07_Convivencia,5
185,-0.14947234468276896,0.4070944961684897,X-04_Reclasificar - Varios,3
186,-0.45206368237506434,-0.9093941622035631,X-04_Reclasificar Servicios Front,5
187,-0.4617987941427693,-0.9304530349416756,X-04_Reclasificar Servicios Front,5
188,-0.49621384859454837,-0.5028412012946079,C-07_Convivencia,5
189,-0.43645518656034277,-0.7803401490350437,X-04_Reclasificar Servicios Front,5
190,-0.4461902983280478,-0.8013990217731557,X-04_Reclasificar Servicios Front,5
191,-0.4559254100957527,-0.8224578945112683,X-04_Reclasificar Servicios Front,5
192,-0.22234327481112956,0.5588446751730074,O-01_Licencia Onbase,3
193,0.7526588806761785,-0.2621369577821785,C-03_Servicios InMotion_Construcción,2
194,0.6015110554327959,-0.5733972868651619,S-01_Servicios SAP,2
195,-0.22587877027367842,-1.2247401638225355,C-11_PMO & Soporte - Autos,5
196,-0.2770052618862414,-0.026247796904836907,C-12_Viaticos,3
197,-0.31042603038445515,-0.6895269682970632,C-12_Viaticos,5
198,-0.4683840532662178,-0.5523771588206341,C-07_Convivencia,5
199,-0.534466525677976,-0.5307204043768756,C-07_Convivencia,5
200,0.8272627238466271,2.8116082484233287,C-03_Servicios InMotion_Construcción,1
201,0.41547044321453175,3.7108799146420224,C-12_Viaticos,1
202,0.5017288090486351,4.639142786597745,X-03_Reclasificar - SESAS,8
203,0.5011192259212245,4.637580472380844,X-03_Reclasificar - SESAS,8
204,0.5011192259212245,4.637580472380844,X-03_Reclasificar - SESAS,8
205,0.5017288090486351,4.639142786597745,X-03_Reclasificar - SESAS,8
206,0.5011192259212245,4.637580472380844,X-03_Reclasificar - SESAS,8
207,0.5011192259212245,4.637580472380844,X-03_Reclasificar - SESAS,8
208,0.4434822916152762,3.876691431086767,C-10_Hardware,1
209,0.394828385752589,3.7974740801113356,C-10_Hardware,1
210,0.3598489797895707,3.8016475094844826,C-10_Hardware,1
211,0.537084591320123,4.608668653648805,X-04_Reclasificar - Varios,8
212,0.4856833070635953,4.614801394432353,X-04_Reclasificar - Varios,8
213,0.3939153021348452,3.7860426212779457,C-07_Convivencia,1
214,0.3701858228100122,3.415054373182714,O-01_Servicios Onbase,1
215,0.2609183075110072,3.0936554538775156,X-04_Reclasificar Servicios Front,1
216,0.26539155464694475,3.0947567903157136,X-04_Reclasificar Servicios Front,1
